,title,names,text
0,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"Resumption of Debate on Question [6 March 2018],"
1,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"""That the total sum to be allocated for Head W of the Estimates be reduced by $100."" – [Mr Sitoh Yih Pin]."
2,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,Question again proposed.
3,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),The Minister for Transport (Mr Khaw Boon Wan),"The Minister for Transport (Mr Khaw Boon Wan): Mr Chairman, our excellent connections to the world provide huge advantages for our businesses, create good jobs for Singaporeans and raise our quality of life. They make Singapore a global city and a vibrant economic hub."
4,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"The role played by Changi Airport and PSA is well understood. But remember these are not permanent strengths. As the Chinese saying goes, ""一 山 还 有 一 山 高"". There is always a taller mountain elsewhere. Many airports and seaports in the region are working hard to replace us. Changi Airport and PSA are working even harder to make sure we are not easily replaceable. MOT is fully behind them, together with other Government agencies."
5,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"That is why we are expanding Changi Airport, even though we have just opened T4. This is not just about building another terminal in Changi. We are actually building a second airport, complete with a third runway, an extensive underground network of tunnels and a mega terminal to serve up to 50 million passengers per year in the first phase of development. By adjoining the current airport, it will almost double our overall airport capacity. More importantly, we can synergise both airports to make the entire Changi an unbeatable air hub."
6,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"Likewise, the capacity of our seaport at Tuas will be double our current container throughput. But more than physical size, the new seaport will leverage on the latest technology, and help create new innovative solutions. As the operator of the new seaport, this will set PSA apart from its rivals. It will help make PSA’s customers even more efficient and cost-effective in their operations."
7,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"While the external connectivity dimensions of Changi Airport and the seaport are obvious, the role played by land transport is also crucial. No point being able to fly or sail into Singapore easily, only to be stuck in traffic jams. This is a common phenomenon in many other cities around the world. Singapore must never be like that."
8,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"The key is to ensure our land transport matches the standard of Changi and PSA. Our approach is to make public transport the preferred mode of transport within Singapore. This is continuing work in progress. As Mr Sitoh Yih Pin put it, there will be growing pains, but I am confident we will get there. Our target is to have 75% of all peak hour journeys made on public transport by 2030. We are on track to achieve this target. To answer Mr Ang Hin Kee’s question, the peak hour public transport mode share last year was 67%: with bus at 34%, rail at 28%, and taxi and private hire car at 5%. With the introduction and growing popularity of Personal Mobility Devices (PMDs), we can be increasingly confident."
9,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"We are clear that for public transport to be the preferred mode, it must be extensive, affordable, reliable and seamless."
10,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"First, an extensive public transport network. A well-connected and resilient rail network forms the backbone. Eight in 10 households will live within a ten-minute walk of a train station by 2030. That is why we are expanding our rail network to 360 km. We will also increase the number of stations to 270. This will put our rail network density ahead of Tokyo and New York City today. This is hard work, patient work over many years and several Transport Ministers. When we fully opened the Downtown Line last year, we took a giant step forward."
11,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,The next giant step will be the opening of the Thomson-East Coast Line. The project is on schedule. We have also started planning the Jurong Region Line and Cross Island Line. These new MRT lines will help to catalyse the development of the Jurong Lake District and Punggol Digital District and transform them to enable an exciting car-lite lifestyle for more Singaporeans.
12,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"Besides the MRT, we have also enhanced bus services significantly, as noted by Mr Melvin Yong. Through the $1.1 billion Bus Service Enhancement Programme (BSEP), we have added 1,000 new buses to our fleet and introduced 80 new routes. Through the Bus Contracting Model, we have raised service standards by injecting additional capacity for more than 100 services. To support the expansion of our bus fleet, four new depots as well as seven interchanges and terminals have been built or upgraded over the past five years."
13,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"We have also incorporated an incentive-disincentive framework in the bus contracts. For the first service year, the operators have already earned incentives of about 1.5% of their total service fees. This is nearly $20 million of incentive payment. The more they improve their services to commuters, the more incentives they stand to gain. This has aligned their corporate objectives with ours. Together, these measures have contributed to greater bus connectivity, less crowded rides and shorter waiting time for commuters. Commuters have felt the difference. It showed up in the Public Transport Customer Satisfaction Survey. I see this as a vote of confidence by commuters for the BSEP and new Bus Contracting Model."
14,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"Second, an affordable public transport service. Our transport fares are affordable. To measure affordability, we track the percentage of income that lower income Singaporeans spend on public transport. In other words, out of your monthly salary, how much do you spend on public transport? It is low, below 2%. So, if you earn $1,000, less than $20 is spent on public transport. While transport fares must be affordable, we must be careful that they are not priced too cheaply, as maintaining a high quality transport system requires resources. Cheap fares are popular, but they are not sustainable."
15,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"The story of the New York City subway is instructive. A recent New York Times article, reproduced in our local media, which chronicled the woes of the New York City subway. It was once an engineering marvel. It is now a broken system with many safety issues. It is estimated that over US$100 billion is needed just to fix the subway’s most pressing needs."
16,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"The investments we are making to improve the transport system are huge. MOT’s budget is now the second biggest amongst Ministries, after MINDEF, and ahead of MOH, MND and MOE. Miss Cheng Li Hui has observed an alarming spike in public transport subsidies. She is right. And we should all be alarmed. She is in business. She knows that rising cost against declining revenue has only one outcome – a disaster. What are the facts? Over the past five years, improvements to public transport services have increased operating costs by about 60%. One major contributing factor is the huge increase in network capacity as we opened new lines and added more buses and trains. This huge cost increase has been borne by the Government, namely taxpayers. Against such rising cost, fares have gone down by 2% over the same period. So, 60% rise in operating costs but fees reduced by 2%. That is the past five years."
