,title,names,text
0,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),The Chairman,"The Chairman: Head W, Ministry of Transport. Mr Sitoh Yih Pin. "
1,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),Mr Sitoh Yih Pin (Potong Pasir),"Mr Sitoh Yih Pin (Potong Pasir): Mr Chairman, I beg to move, ""That the total sum to be allocated for Head W of the Estimates be reduced by $100."" "
2,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"Mr Chairman, before I kick off the Committee of Supply Debate for the Ministry of Transport, I believe I speak for all Members of this House when I wish Minister Khaw Boon Wan, a speedy recovery from his injury and we all look forward to the return of a formidable presence in this House very soon! [Applause]"
3,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"Incidentally, Mr Chairman, as I cast my eyes across the floor, it suddenly dawn on me that with Minister Vivian temporarily in-charge, the Ministry of Transport is now helmed by three doctors, all with a sub-specialty in children. But, of course, we all agree that transport is no child's play. Let me carry on."
4,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"I remember when I was appointed as GPC Chair for Transport in 2015, it was at a time when public satisfaction in our public transportation system, and in particular the MRT system, was at one of its lowest point.   "
5,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),, Being involved in GPC work for Transport then was quite a baptism of fire for me. 
6,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),," On hindsight, it is understandable why public transportation, is an issue close to the hearts of Singaporeans. Transportation is a key pillar and enabler of our economy. It connects us domestically within Singapore and also to the rest of the world. It is the first thing we plan for when we leave home in the morning and the last thing we rely on to bring us safely home each night.    "
7,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"In recent years, MOT has had to deal with the rapid evolution and the changing landscape of transportation in Singapore.  "
8,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"Advances in Transport Technology forces us to re-think and evolve the way we travel. Our domestic demographic and scarcity of land require us to adapt and constantly review our transportation system. In order to do this, the Government continues to invest heavily in transportation infrastructure and also to push the transport industry to its technological forefront.  "
9,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"These include, the rapid expansion and renewal of the MRT System, the support of technological disruptions to the transportation industry, the proliferation of Personal Mobility Devices (PMDs), e-Bikes and bike Sharing. Other new technologies such as driverless, automated vehicles are not far off on the horizon."
10,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"The Budget numbers also reflect this. Ten years ago, in Financial Year 2009, MOT’s expenditure was approximately $5.4 billion. This year, the estimate is $11.5 billion. It has been a consistently increasing trend over the years.  "
11,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"With rapid changes however, difficulties and challenges will inevitably arise. "
12,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"Some of these include, the rail reliability of our MRT system, the disruption that private hire cars brought to the point to point transportation market, safety issues between pedestrians and e-bikes and PMD users and even the irresponsible use and placement of shared bikes. These and other issues, when put together, often colour the public’s perception of the efficiency and reliability of our entire transportation network. "
13,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"In fairness, it is understandable how a new project or initiative, like the proliferation of e-bikes and PMDs, when viewed in isolation, can appear disjointed, or its challenges overwhelming. However, the recently released Land Transport Master Plan 2040 sets out the vision, I believe all Singaporeans can aspire and look forward to.  "
14,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"It is an ambitious plan – to build a transportation system that is inclusive, promotes healthy and safe journeys that can be completed within the target of 20-minute towns and 45-Minute City for all. This will require a seamless integration of public, active and shared transport network, that includes enhanced infrastructure to support all modes of transportation.  "
