,title,names,text
0,PARKS AND TREES (AMENDMENT) BILL,,Order for Second Reading read.
1,PARKS AND TREES (AMENDMENT) BILL,The Senior Minister of State for National Development (Mr Desmond Lee),"The Senior Minister of State for National Development (Mr Desmond Lee):Mdm Speaker, I beg to move, ""That the Bill be now read a Second time."""
2,PARKS AND TREES (AMENDMENT) BILL,,"The Parks and Trees Act empowers NParks to manage and protect our greenery and biodiversity in our nature reserves, national parks, heritage road buffers, and tree conservation areas. But we need to continually review and update this piece of legislation as our City in a Garden continues to transform and grow."
3,PARKS AND TREES (AMENDMENT) BILL,,"Mdm Speaker, let me introduce the main provisions of this Bill."
4,PARKS AND TREES (AMENDMENT) BILL,,"First, the Bill enhances NParks' ability to protect the Sisters' Islands Marine Park, or SIMP. The Marine Park was established in 2014, after many years of hard work by NParks colleagues and passionate members of our marine conservation community. They include representatives from the Nature Society Singapore, Wild Singapore, the academic community, and many other committed individuals. In particular, I would like to thank Mr Francis Lee, the lead for the Blue Plan, Professor Chou Loke Ming, a luminary in the field of marine biology, Mr Leong Kwok Peng, vice president of Nature Society Singapore and Ms Ria Tan, Singapore's passionate naturalist and many, many more."
5,PARKS AND TREES (AMENDMENT) BILL,,"The coastal areas and waters in the Marine Park teem with life and are rich in local biodiversity, such as coral, anemones, seahorses, fish and other creatures. It is amazing that our waters, which lie within some of the busiest commercial sea lanes in the world, are home to over a third of the world's total coral species. So protecting the reefs at the Sisters' Island Marine Park is crucial to our coral conservation efforts."
6,PARKS AND TREES (AMENDMENT) BILL,,"By adding a definition of ""marine park"" in clause 2(a), and adding it as a type of public park in clause 2(c), we make it clear that the protection of the Parks and Trees Act applies to the designated foreshore as well as marine areas in the Sisters' Islands Marine Park. For instance, it will be an offence to fish, collect corals or moor boats without NParks' approval."
7,PARKS AND TREES (AMENDMENT) BILL,,"The Bill will also enable NParks to make new subsidiary rules to regulate human activities in the Marine Park, in order to keep it as a sanctuary for marine life. For example, NParks can restrict diving and dropping of anchors at ecologically sensitive"
8,PARKS AND TREES (AMENDMENT) BILL,,Page: 35
9,PARKS AND TREES (AMENDMENT) BILL,,Let me next move on to provisions that enhance protection of biodiversity in our nature reserves. Section 9(3)(a) of the Act restricts the bringing in or releasing of animals in a nature reserve. This prevents the introduction of invasive species which may threaten the survival of our native animals in the reserves.
10,PARKS AND TREES (AMENDMENT) BILL,,"However, the law currently does not cover cases where unwanted aquatic pets like exotic fish and terrapins are abandoned in streams or drains that lead into the reserves. So, clause 5 now makes it an offence for any person to release or abandon animals into watercourses outside of our nature reserves, if the person knows or ought to know that these watercourses flow into the reserves. To make this clear, NParks will put up signage at key watercourses and continue to strengthen its public education efforts."
11,PARKS AND TREES (AMENDMENT) BILL,,"Third, the Bill gives greater protection to public parks and gardens that are not managed by NParks. Gardens by the Bay is independently managed by Gardens by the Bay Company (GB Co). Clause 4 of the Bill now allows the Minister to designate entities like GB Co as managers of public parks. Clause 2(d) also brings these parks under the protection of the Parks and Trees Act, while clause 3(b) further allows the Commissioner of Parks and Recreation to delegate certain enforcement powers to selected employees of these entities."
12,PARKS AND TREES (AMENDMENT) BILL,,"In short, GB Co employees can now rely on the Parks and Trees Act's provisions to protect the greenery and biodiversity of Gardens by the Bay. For example, park wardens who are GB Co employees will now be able to take enforcement action against illegal cutting of trees and plants at Gardens by the Bay."
13,PARKS AND TREES (AMENDMENT) BILL,,"Fourth, the Bill provides NParks with more effective regulatory and enforcement powers. Under clause 3, the Commissioner of Parks and Recreation may delegate certain powers of enforcement to public officers, NParks employees, as well as the auxiliary Police officers. He can also appoint public officers, NParks employees, an employee of a management body designated under section 6A, as well as licensed security officers as park rangers .These officers will receive proper enforcement training and work closely with NParks officers. In addition, NParks officers will now have more effective powers to investigate offences under the Act. For instance, they may interview offenders and record statements."
14,PARKS AND TREES (AMENDMENT) BILL,,"Fifth, the Bill empowers NParks to require greenery to be reinstated, in cases where it has been illegally removed. So, let me elaborate"
15,PARKS AND TREES (AMENDMENT) BILL,,"Currently, when greenery along Heritage Road green buffers are removed, offenders will not only face a fine, they may also be ordered to reinstate the greenery. However, those who commit illegal tree-felling in Tree Conservation Areas and vacant land are currently only subject to fines. Clause 10 now allows NParks to order those responsible to also reinstate the greenery. This brings the regulatory treatment for both Heritage Road green buffers as well as Tree Conservation Areas into alignment."
16,PARKS AND TREES (AMENDMENT) BILL,,Page: 36
