,title,names,text
0,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),Mr Sitoh Yih Pin (Potong Pasir),"Mr Sitoh Yih Pin (Potong Pasir): Mr Chairman, I beg to move, ""That the total sum to be allocated for Head W of the estimates be reduced by $100""."
1,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),," Sir, Singapore’s entire transportation industry is undergoing rapid evolution and major change. Technological disruptions and our changing economic and social needs are the main drivers of this."
2,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"New MRT lines and stations are being built in many places. Private Hire Cars and their distinct blue decals ply our roads. There is a proliferation of E-Bikes, Personal Mobility Devices (PMDs) and Shared Bicycles on our roads and pathways. Our once bustling port in Keppel has gone silent as the move to Tuas continues. Changi Airport has transformed from its humble beginnings to an international air travel hub of four terminals with a fifth one in the works."
3,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"MOT’s budget estimation for 2018 has grown significantly from 2017 and is now comparable to traditionally big-ticket Ministries such as Defence, Health and Education. And it is absolutely vital that we do so!"
4,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,Our transport industry is a key pillar and enabler of our economy. It not only connects us domestically within Singapore but also to the rest of the world.
5,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"Sir, I think Singaporeans appreciate, understand and accept the reasons and need for this evolution, growth and change in our transportation landscape. However, rapid evolution and major changes in transport have brought about its own set of challenges and issues."
6,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"Sir, I spoke at length at last year’s Committee of Supply on Technology in Transport and in particular, the advent of Private Hire Cars in the point to point transportation industry."
7,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"Private hire car companies leverage on technology through their mobile apps to plug a service gap by providing a platform to efficiently match private-hire car drivers and passengers directly in real time and space. Their model, significantly shrinks transaction costs, giving passengers greater choices and value. However, this caused a disruption in the point to point transportation industry, leading to many Taxi Drivers, who are facing the pressures of increased competition, to worry and fear for their livelihoods."
8,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"Technology has also brought about new options for first and last mile travel between our homes and the various transport nodes. These include, e-bikes and PMDs, and also bike sharing systems."
9,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"I expressed reservations about the proliferation of e-bikes and PMDs during the Active Mobility Debate. My reservations are primarily on safety concerns for other road and pathway users as well as whether an adequate accident compensation scheme, like those for motor vehicles, can apply to e-bikes and PMDs. I continue to hold these views."
10,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"Bike Sharing Systems, while intuitively an efficient and convenient option for Singaporeans to use for short distance travel, face teething issues such as abusive use and abandonment of the Shared Bikes."
11,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,I shall not delve too much into these details as they have been well documented in the mass media and many of my hon Colleagues on both sides of the House will raise the same during this COS.
12,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"An important point to note, however, is that New Technologies will continue to disrupt and bring new options into the transportation industry. This is unlikely to abate. Further technology driven changes in transport are already at our doorstep."
13,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"BlueSG, Singapore’s first electric car sharing service has been launched. Driverless, autonomous vehicles are being tested and piloted. Difficulties and problems arising from these will not be dissimilar or unique. We should expect it."
14,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,This does not mean that we ignore the difficulties and problems. They are real and should never be trivialised. Policy solutions need to be urgently found to solve or mitigate the issues.
15,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"The question we should ask ourselves, Sir, is this. Should the Government hesitate to promote technological changes in transport and maintain the status quo because of these difficulties and problems? I think that the clear answer is a clear no."
16,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,Stifling new innovative technology can only end in a negative outcome for the overall Singapore economy and for Singaporeans in general. We did not get where we are as a Country by being fearful of the difficulties and problems that change will bring.
17,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,The same applies to our MRT system. It is perhaps an understatement to say that it has been a difficult year for our MRT system and for SMRT in particular.
18,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"There have been several avoidable lapses. Some minor, others of a serious nature that need to be addressed immediately. This is irrefutable and I do not think anyone disagrees. We need to improve and we will."
19,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"However, we are also driving a massive expansion of our MRT capacity. New lines are being progressively completed. The signalling system on old lines is being upgraded to increase efficiency and to cope with increased demand. This is in line with our population growth and new towns and housing estates being developed."
20,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"Such problems and difficulties arising from the evolution and changes in the transport industry is not unprecedented. It has happened many times in the past. We built our city from scratch. Public Housing, Town Planning, Port facilities, Changi Airport, Roads and our first MRT system each presented similar difficulties and problems at its time."
21,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"Each of these were meticulously planned, executed with vision and foresight by our Founding Leaders. They were policies implemented, not only to satisfy the current requirements of its time but also to cater for the potential needs in the future."
22,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,Changi Airport is a great example. The choice of location and the anticipation of our future needs set the foundations for the possibility of the state of the art multi-terminal international airport that we have today.
23,COMMITTEE OF SUPPLY – HEAD W (MINISTRY OF TRANSPORT),,"The same vision is being applied today in the relocation of our port facilities to Tuas, the massive expansion of our MRT lines and the entire array of car-lite initiatives to alter our transportation landscape in the future."
